#
# $Id$
#
# I realize one of the biggest problems with sending pages directly is the 
# lack of vendor-advertised paging central phone numbers.  So, I figure we
# should try to collect a list of them.  Should make things a lot easier.
#
# You can find this online at http://sendpage.org/pc.php (searchable)
# or as http://sendpage.org/PagingCentrals.txt in raw text.
#
# To make changes, corrections, etc, please send me some email at 
# pc-updates@outflux.net
# 

+-----+--------------------------+--------------------------+-------------------------+--------------------+-----------------+---------------+
| id  | vendor                   | region                   | notes                   | tap_access         | settings        | quirks        |
|  42 | AirTouch                 | Indianapolis, IN         | untested                | 317-553-2471       | 7e1             |               |
|  43 | AirTouch                 | Kansas City              | untested                | 800-546-7243       | 7e1             |               |
|  44 | AirTouch                 | Michigan                 | untested                | 800-371-8800       | 7e1             |               |
|  45 | AirTouch                 | Michigan                 | untested                | 810-539-3917       | 7e1             |               |
|  46 | AirTouch                 | Nation-Wide              | untested                | 800-326-4724       | 7e1             |               |
|  47 | AirTouch                 | Nation-Wide              | untested                | 800-793-4549       | 7e1             |               |
|  48 | AirTouch                 | Nation-Wide              | untested                | 800-347-7243       | 7e1             |               |
|  49 | AirTouch                 | Orlando, FL              | untested                | 407-645-3103       | 7e1             |               |
|  50 | AirTouch                 | Phoenix, AZ              | untested                | 602-253-4297       | 7e1             |               |
|  51 | AirTouch                 | Sacramento, CA           | untested                | 916-447-6053       | 7e1             |               |
|  52 | AirTouch                 | San Deigo, CA            | untested                | 619-296-0772       | 7e1             |               |
|  53 | AirTouch                 | San Deigo, CA            | untested                | 858-576-1783       | 7e1             |               |
|  54 | AirTouch                 | Sunnyvale, CA            | untested                | 408-950-0572       | 7e1             |               |
|  55 | AirTouch                 | Texas                    | untested                | 800-672-4371       | 7e1             |               |
|  56 | AirTouch                 | Tucson, AZ               | untested                | 520-622-3122       | 7e1             |               |
|  57 | Alert                    |                          | untested                | 702-362-1748       | 7e1             |               |
|  58 | American Pager           |                          | untested                | 210-657-5562       | 7e1             |               |
|  59 | American Pager           |                          | untested                | 800-660-5747       | 7e1             |               |
|  60 | American Paging          |                          | untested                | 512-451-0777       | 7e1             |               |
|  61 | American Paging          | Arizona                  | untested                | 602-265-5203       | 7e1             |               |
|  62 | American Paging          | Arizona                  | untested                | 800-364-0816       | 7e1             |               |
|  63 | American Paging          | Orlando, Florida         | untested                | 800-233-9977       | 7e1             |               |
|  64 | American Paging          | Washington, DC           | untested                | 800-459-2033       | 7e1             |               |
|  65 | American Paging          | Wisconsin                | untested                | 800-642-4152       | 7e1             |               |
|  66 | Ameritech                |                          | untested                | 314-841-8410       | 7e1             |               |
|  67 | Ameritech                |                          | untested                | 616-201-2000       | 7e1             |               |
|  68 | Ameritech                | Cleveland, OH            | untested                | 216-670-7243       | 7e1             |               |
|  69 | Ameritech                | Madison, Wisconsin       | untested                | 800-677-7454       | 7e1             |               |
|  70 | Ameritech                | IL                       | untested                | 708-563-0024       | 7e1             |               |
|  71 | Ameritech                | St. Louis, MO            | untested                | 314-973-9739       | 7e1,300         |               |
|  72 | Ameritech                | St. Louis, MO            | untested                | 314-841-8410       | 7e1,1200        |               |
|  73 | Answer Page              | Grants Pass, OR          | untested                | 541-471-5000       | 7e1             |               |
|  74 | Answer Page              | Medford, OR              | untested                | 541-770-0000       | 7e1             |               |
|  75 | Arch Communications      | Erie, PA                 | untested                | 814-864-1735       | 7e1             |               |
|  76 | Arch Communications      | Erie, PA                 | untested                | 814-868-5576       | 7e1             |               |
|  77 | Arch Communications      | Erie, PA                 | untested                | 800-800-2995       | 7e1             |               |
|  78 | Arch Paging              | Boise, ID                | untested                | 800-741-2337       | 7e1             |               |
|  79 | Arch Paging              | Charlotte, NC            | untested                | 800-741-2337       | 7e1             |               |
|  80 | Arch Paging              | Cleveland, OH            | untested                | 216-464-3185       | 7e1             |               |
|  81 | Arch Paging              | Cleveland, OH            | untested                | 216-591-0925       | 7e1             |               |
|  82 | Arch Paging              | Colorado Springs, CO     | untested                | 800-490-1320       | 7e1             |               |
|  83 | Arch Paging              | Columbia, SC             | untested                | 888-377-4231       | 7e1             |               |
|  84 | Arch Paging              | Eugene, OR               | untested                | 541-342-5214       | 7e1             |               |
|  85 | Arch Paging              | Greensboro, NC           | untested                | 888-377-4229       | 7e1             |               |
|  86 | Arch Paging              | Greenville, SC           | untested                | 888-377-4230       | 7e1             |               |
|  87 | Arch Paging              | Michigan                 | untested                | 800-613-1108       | 7e1             |               |
|  88 | Arch Paging              | Michigan                 | untested                | 800-613-1107       | 7e1             |               |
|  89 | Arch Paging              | Michigan                 | untested                | 800-613-5712       | 7e1             |               |
|  90 | Arch Paging              | Portland, OR             | untested                | 503-228-7660       | 7e1             |               |
|  91 | Arch Paging              | Raliegh, NC              | untested                | 888-377-4228       | 7e1             |               |
|  92 | Arch Paging              | Rochester, NY            | untested                | 716-232-7324       | 7e1             |               |
|  93 | Arch Paging              | Seattle, WA              | untested                | 800-695-6285       | 7e1             |               |
|  94 | Arch Paging              | St. Louis, MO            | untested                | 800-294-9988       | 7e1             |               |
|  95 | Arch Paging              | St. Louis Metro, MO      | untested                | 618-549-4685       | 7e1             |               |
|  96 | Arch Paging              | Western Mass. area, MA   | untested                | 800-648-8233       | 7e1             |               |
|  97 | Beep Call                |                          | untested                | 888-624-6703       | 7e1             |               |
|  98 | Beep One                 |                          | untested                | 800-864-1160       | 7e1             |               |
|  99 | Beep One                 | Clemson, South Carolina  | untested                | 800-864-0984       | 7e1             |               |
| 100 | Bell Mobility            | Canada                   | untested                | 416-285-7267       | 7e1             |               |
| 101 | Bell Mobility            | Canada                   | untested                | 514-931-0441       | 7e1             |               |
| 102 | Beta Tele-Page           |                          | untested                | 800-409-6979       | 7e1             |               |
| 103 | Cantel                   | Edmonton, Alberta        | untested                | 403-990-1042       | 7e1             |               |
| 104 | Cantel                   | Edmonton, Alberta        | untested                | 800-387-8484       | 7e1             |               |
| 105 | Cantel                   | Montreal, QC             | untested                | 514-862-0630       | 7e1             |               |
| 106 | Cantel                   | Ottawa, ON               | untested                | 613-820-8631       | 7e1             |               |
| 107 | Cantel                   | Sherbrook, QC            | untested                | 204-229-0141       | 7e1             |               |
| 108 | Cantel                   | Toronto, QC              | untested                | 416-488-9494       | 7e1             |               |
| 109 | Cantel                   | Winnipeg, MB             | untested                | 819-572-1847       | 7e1             |               |
| 110 | CalPage                  | National                 | untested                | 800-258-9880       | 7e1             |               |
| 111 | Cellular One PCS         | National                 | untested                | 800-477-4550       | 7e1             |               |
| 112 | Cellular One PCS         | National                 | untested                | 888-878-7727       | 7e1             |               |
| 113 | Cellular One             | Kansas City, KS          | untested                | 913-236-4065       | 7e1             |               |
| 114 | ComTech                  |                          | untested                | 800-755-4585       | 7e1             |               |
| 115 | Consolidated Comm        |                          | untested                | 800-533-3843       | 7e1             |               |
| 116 | Cook Paging              |                          | untested                | 206-469-0000       | 7e1             |               |
| 117 | Cook Paging              |                          | untested                | 209-279-0000       | 7e1             |               |
| 118 | Cook Paging              |                          | untested                | 415-679-0000       | 7e1             |               |
| 119 | Fido                     | Montreal, QC             | untested                | 514-937-9593       | 7e1             |               |
| 120 | Fido                     | Canada                   | untested                | 888-322-3436       | 7e1             |               |
| 121 | GTE                      |                          | untested                | 800-483-2340       | 7e1             |               |
| 122 | LDDS Worldcom            |                          | untested                | 800-940-1010       | 7e1             |               |
| 123 | Lehigh Valley Page       |                          | untested                | 800-873-2433       | 7e1             |               |
| 124 | LA Cellular              | Los Angeles, CA          | untested                | 800-807-7274       | 7e1             |               |
| 125 | MAP                      | Southern California      | untested                | 800-456-2190       | 7e1             |               |
| 126 | MCC Paging               |                          | untested                | 800-529-8663       | 7e1             |               |
| 127 | MCI Page                 |                          | untested                | 800-555-0909       | 7e1             |               |
| 128 | MCI Page                 |                          | untested                | 800-487-9297       | 7e1             |               |
| 129 | MCI WorldComm/PageMart   |                          | untested                | 800-557-8081       | 7e1             |               |
| 130 | Maximum                  |                          | untested                | 800-589-3860       | 7e1             |               |
| 131 | Metrocall                |                          | untested                | 800-926-7272       | 7e1             |               |
| 132 | Metrocall                |                          | untested                | 917-895-5376       | 7e1             |               |
| 133 | MetroCall                | VA                       | 2-way,untested          | 703-768-5400       | 7e1             |               |
| 134 | MetroCall                | CA                       | 2-way,untested          | 213-941-0000       | 7e1             |               |
| 135 | Metrocall                | National                 | LA Term 324,untested    | 800-418-8283       | 7e1             |               |
| 136 | Metrocall                | National                 | Term 327,untested       | 619-331-4950       | 7e1             |               |
| 137 | MetroCall                | Alexandria, VA           | untested                | 800-245-0004       | 7e1             |               |
| 138 | MetroCall                | Massachusetts            | untested                | 617-362-6600       | 7e1             |               |
| 139 | MetroCall                | New Jersey               | untested                | 800-917-1168       | 7e1             |               |
| 140 | MetroCall                | Roanoke, VA              | untested                | 800-898-7247       | 7e1             |               |
| 141 | MetroCall                | San Diego, CA            | untested                | 619-331-0041       | 7e1             |               |
| 142 | MetroCall                | San Francisco, CA        | untested                | 800-971-7919       | 7e1             |               |
| 143 | MetroCall                | Seattle, WA              | untested                | 206-622-7585       | 7e1             |               |
| 144 | MetroCall                | Southern California      | untested                | 800-347-7243       | 7e1             |               |
| 145 | MetroCall                | Tulsa, OK                | untested                | 918-664-8811       | 7e1             |               |
| 146 | MetroCall                | Washington, DC           | untested                | 800-971-5088       | 7e1             |               |
| 147 | Metrocall                | Wichita, KS              | untested                | 316-636-4110       | 7e1             |               |
| 148 | Minncomm Paging          | Minneapolis              | untested                | 612-521-3541       | 7e1             |               |
| 149 | Mobile Media             |                          | untested                | 800-622-5742       | 7e1             |               |
| 150 | Mobile Media             | Florida                  | untested                | 800-872-6755       | 7e1             |               |
| 151 | Mobile Media             | North Carolina           | untested                | 800-365-2689       | 7e1             |               |
| 152 | Mobile Media             | Washington, DC           | untested                | 800-328-7587       | 7e1             |               |
| 153 | MobileComm               |                          | untested                | 800-946-4644       | 7e1             |               |
| 154 | MobileComm               |                          | untested                | 800-655-6555       | 7e1             |               |
| 155 | MobileComm               | Alabama                  | untested                | 800-848-8436       | 7e1             |               |
| 156 | MobileComm               | Boston                   | untested                | 800-287-0143       | 7e1             |               |
| 157 | MobileComm               | Charleston, SC           | untested                | 800-277-1266       | 7e1             |               |
| 158 | MobileComm               | Chicago, IL              | untested                | 847-490-0174       | 7e1             |               |
| 159 | MobileComm               | Washington, DC           | untested                | 800-328-7587       | 7e1             |               |
| 160 | MobileComm               | Detroit, MI              | untested                | 810-559-8191       | 7e1             |               |
| 161 | MobileComm               | Huntsville, AL           | untested                | 800-239-7817       | 7e1             |               |
| 162 | MobileComm               | Long Island, New York    | untested                | 800-657-2487       | 7e1             |               |
| 163 | MobileComm               | Michigan                 | untested                | 800-837-5101       | 7e1             |               |
| 164 | MobileComm               | Northern California      | untested                | 800-655-6555       | 7e1             |               |
| 165 | MobileComm               | Northern California      | untested                | 916-444-6383       | 7e1             |               |
| 166 | MobileComm               | Richmond, VA             | untested                | 804-270-2271       | 7e1             |               |
| 167 | MobileComm               | San Luis Obispo, CA      | untested                | 805-544-1162       | 7e1             |               |
| 168 | MobileComm               | Santa Barbara, CA        | untested                | 805-564-6049       | 7e1             |               |
| 169 | MobileComm               | Santa Barbara, CA        | untested                | 805-564-8817       | 7e1             |               |
| 170 | MobileComm               | Santa Maria, CA          | untested                | 805-349-1140       | 7e1             |               |
| 171 | MobileComm               | St. Louis, MO            | untested                | 800-250-6325       | 7e1             |               |
| 172 | MobileComm               | Texas                    | untested                | 800-435-3582       | 7e1             |               |
| 173 | MobileComm               | Texas                    | untested                | 800-344-2270       | 7e1             |               |
| 174 | MobileComm               | Washington / Oregon      | untested                | 800-734-0096       | 7e1             |               |
| 175 | MobileComm BSE           | Michigan                 | untested                | 800-837-1202       | 7e1             |               |
| 176 | MobileFone               |                          | untested                | 800-632-5742       | 7e1             |               |
| 177 | MobileFone               | Kansas City, KS          | untested                | 816-842-6032       | 7e1             |               |
| 178 | Nevada Bell PCS          |                          | untested                | 800-937-8941       | 7e1             |               |
| 179 | Nextel                   | Chicago, IL              | untested                | 312-514-6683       | 7e1             |               |
| 180 | Nextel                   |                          | untested                | 415-559-6683       | 7e1             |               |
| 181 | Nextel                   |                          | untested                | 617-839-6683       | 7e1             |               |
| 182 | Nextel                   | New York, NY             | untested                | 917-299-6683       | 7e1             |               |
| 183 | Nextel                   | Indianapolis, IN         | untested                | 317-710-6683       | 7e1             |               |
| 184 | Nextel                   | Seattle, WA              | untested                | 206-396-6683       | 7e1             |               |
| 185 | Pacific Bell PCS         |                          | untested                | 888-600-7267       | 7e1             |               |
| 186 | PacTel                   |                          | untested                | 800-662-5742       | 7e1             |               |
| 187 | Page New England         |                          | untested                | 800-648-8233       | 7e1             |               |
| 188 | Page New England         | Boston                   | untested                | 800-782-0034       | 7e1             |               |
| 189 | Page New England         | Connecticut              | untested                | 800-844-7243       | 7e1             |               |
| 190 | Page New England         | Maine                    | untested                | 800-639-6901       | 7e1             |               |
| 191 | Page New England         | National                 | untested                | 800-844-8089       | 7e1             |               |
| 192 | Page New England         | National                 | untested                | 800-543-6532       | 7e1             |               |
| 193 | PageAmerica              |                          | untested                | 800-843-9187       | 7e1             |               |
| 194 | PageAmerica              | Illinois                 | untested                | 800-637-0672       | 7e1             |               |
| 195 | PageMart                 |                          | untested                | 800-864-9499       | 7e1             |               |
| 196 | PageMart                 |                          | untested                | 800-324-4533       | 7e1             |               |
| 197 | PageNet                  |                          | untested                | 800-353-5100       | 7e1             |               |
| 198 | PageNet                  |                          | untested                | 800-766-9619       | 7e1             |               |
| 199 | PageNet                  |                          | untested                | 800-854-1733       | 7e1             |               |
| 200 | PageNet                  | Albany, NY               | untested                | 518-869-0590       | 7e1             |               |
| 201 | PageNet                  | Albuquerque, NM          | untested                | 505-883-1203       | 7e1             |               |
| 202 | PageNet                  | Anaheim, CA              | untested                | 714-540-9301       | 7e1             |               |
| 203 | PageNet                  | Anaheim, CA              | untested                | 714-666-4700       | 7e1             |               |
| 204 | PageNet                  | Anchorage, AK            | untested                | 907-522-8802       | 7e1             |               |
| 205 | PageNet                  | Anderson, SC             | untested                | 803-964-3507       | 7e1             |               |
| 206 | PageNet                  | Arizona                  | untested                | 800-848-7037       | 7e1             |               |
| 207 | PageNet                  | Atascadero, CA           | untested                | 805-460-7045       | 7e1             |               |
| 208 | PageNet                  | Atlanta, GA              | untested                | 404-390-9176       | 7e1             |               |
| 209 | PageNet                  | Atlanta, GA              | untested                | 404-722-2000       | 7e1             |               |
| 210 | PageNet                  | Augusta, GA              | untested                | 706-724-7133       | 7e1             |               |
| 211 | PageNet                  | Austin, TX               | untested                | 512-476-2893       | 7e1             |               |
| 212 | PageNet                  | Bakersfield, CA          | untested                | 805-336-4716       | 7e1             |               |
| 213 | PageNet                  | Baltimore, MD            | untested                | 410-356-0613       | 7e1             |               |
| 214 | PageNet                  | Barstow, CA              | untested                | 760-957-2000       | 7e1             |               |
| 215 | PageNet                  | Beaumont, TX             | untested                | 409-724-7445       | 7e1             |               |
| 216 | PageNet                  | Beaumont, TX             | untested                | 409-839-8200       | 7e1             |               |
| 217 | PageNet                  | Birmingham, AL           | untested                | 205-510-2020       | 7e1             |               |
| 218 | PageNet                  | Birmingham, AL           | untested                | 205-770-0000       | 7e1             |               |
| 219 | PageNet                  | Boise, ID                | untested                | 208-375-2792       | 7e1             |               |
| 220 | PageNet                  | Boston, MA               | untested                | 617-273-4535       | 7e1             |               |
| 221 | PageNet                  | Boston, MA               | untested                | 781-273-4535       | 7e1             |               |
| 222 | PageNet                  | Bridgeport, CT           | untested                | 203-523-9021       | 7e1             |               |
| 223 | PageNet                  | Bridgeport, CT           | untested                | 203-380-1475       | 7e1             |               |
| 224 | PageNet                  | Brooksville, FL          | untested                | 352-848-2850       | 7e1             |               |
| 225 | PageNet                  | Broward, FL              | untested                | 954-402-7243       | 7e1             |               |
| 226 | PageNet                  | Buffalo, NY              | untested                | 716-633-2568       | 7e1             |               |
| 227 | PageNet                  | Burbank E SF Valley, CA  | untested                | 818-556-0050       | 7e1             |               |
| 228 | PageNet                  | Burbank, CA              | untested                | 818-846-6326       | 7e1             |               |
| 229 | PageNet                  | W SF Valley, CA          | untested                | 818-596-3000       | 7e1             |               |
| 230 | PageNet                  | Charleston, SC           | untested                | 803-219-0000       | 7e1             |               |
| 231 | PageNet                  | Charlotte, NC            | untested                | 704-527-2574       | 7e1             |               |
| 232 | PageNet                  | Chicago, IL              | untested                | 630-325-7842       | 7e1             |               |
| 233 | PageNet                  | Chicago, IL              | untested                | 708-325-7842       | 7e1             |               |
| 234 | PageNet                  | Cincinnati, OH           | untested                | 513-408-9999       | 7e1             |               |
| 235 | PageNet                  | Cincinnati, OH           | untested                | 513-434-9694       | 7e1             |               |
| 236 | PageNet                  | Cincinnati, OH           | untested                | 513-772-0941       | 7e1             |               |
| 237 | PageNet                  | Cleveland, OH            | untested                | 216-573-7933       | 7e1             |               |
| 238 | PageNet                  | Cleveland, OH            | untested                | 440-303-7243       | 7e1             |               |
| 239 | PageNet                  | Coco Beach, FL           | untested                | 407-639-1244       | 7e1             |               |
| 240 | PageNet                  | Colorado Springs, CO     | untested                | 719-570-7055       | 7e1             |               |
| 241 | PageNet                  | Colton, CA               | untested                | 909-410-6600       | 7e1             |               |
| 242 | PageNet                  | Columbia, SC             | untested                | 803-301-0000       | 7e1             |               |
| 243 | PageNet                  | Columbus, OH             | untested                | 614-846-4515       | 7e1             |               |
| 244 | PageNet                  | Compton, CA              | untested                | 310-509-0001       | 7e1             |               |
| 245 | PageNet                  | Corona, CA               | untested                | 909-270-6584       | 7e1             |               |
| 246 | PageNet                  | Corpus Christi, TX       | untested                | 512-844-1622       | 7e1             |               |
| 247 | PageNet                  | Dallas/Ft. Worth, TX     | untested                | 214-835-7243       | 7e1             |               |
| 248 | PageNet                  | Dayton, OH               | untested                | 937-370-9999       | 7e1             |               |
| 249 | PageNet                  | Daytona Beach, FL        | untested                | 904-252-2731       | 7e1             |               |
| 250 | PageNet                  | Denver, CO               | untested                | 303-721-7595       | 7e1             |               |
| 251 | PageNet                  | Denver, CO 1             | untested                | 719-520-1253       | 7e1             |               |
| 252 | PageNet                  | Detroit, MI              | untested                | 248-827-7399       | 7e1             |               |
| 253 | PageNet                  | Eastern Shore, MD        | untested                | 410-749-0286       | 7e1             |               |
| 254 | PageNet                  | Eugene, OR               | untested                | 503-484-1369       | 7e1             |               |
| 255 | PageNet                  | Eugene, OR               | untested                | 541-484-1369       | 7e1             |               |
| 256 | PageNet                  | Freeport, TX             | untested                | 409-233-5524       | 7e1             |               |
| 257 | PageNet                  | Fresno, CA               | untested                | 209-699-0001       | 7e1             |               |
| 258 | PageNet                  | Ft. Lauderdale, FL       | untested                | 305-767-8000       | 7e1             |               |
| 259 | PageNet                  | Ft. Myers, FL            | untested                | 941-339-5299       | 7e1             |               |
| 260 | PageNet                  | Gainesville, FL          | untested                | 352-376-8251       | 7e1             |               |
| 261 | PageNet                  | Galveston, TX            | untested                | 409-942-1042       | 7e1             |               |
| 262 | PageNet                  | Gardena, CA              | untested                | 310-298-2995       | 7e1             |               |
| 263 | PageNet                  | Greensboro, NC           | untested                | 336-321-3000       | 7e1             |               |
| 264 | PageNet                  | Greensboro, NC           | untested                | 910-855-7599       | 7e1             |               |
| 265 | PageNet                  | Greenville, SC           | untested                | 803-217-0000       | 7e1             |               |
| 266 | PageNet                  | Greenville, SC           | untested                | 864-216-0000       | 7e1             |               |
| 267 | PageNet                  | Greenville, SC           | untested                | 864-217-0000       | 7e1             |               |
| 268 | PageNet                  | Greenville, SC           | untested                | 864-964-3500       | 7e1             |               |
| 269 | PageNet                  | Hartford, CT             | untested                | 860-948-2000       | 7e1             |               |
| 270 | PageNet                  | Hayward, CA              | untested                | 510-920-1100       | 7e1             |               |
| 271 | PageNet                  | Hemet, CA                | untested                | 909-617-0000       | 7e1             |               |
| 272 | PageNet                  | Houston, TX              | untested                | 281-480-9814       | 7e1             |               |
| 273 | PageNet                  | Houston, TX              | untested                | 713-781-8152       | 7e1             |               |
| 274 | PageNet                  | Houston, TX              | untested                | 713-781-8163       | 7e1             |               |
| 275 | PageNet                  | Huntsville, AL           | untested                | 205-860-0000       | 7e1             |               |
| 276 | PageNet                  | Indiana                  | untested                | 800-838-6138       | 7e1             |               |
| 277 | PageNet                  | Indianapolis, IN         | untested                | 317-575-6138       | 7e1             |               |
| 278 | PageNet                  | Irvine, CA               | untested                | 714-451-7144       | 7e1             |               |
| 279 | PageNet                  | Jacksonville, FL         | untested                | 904-363-2103       | 7e1             |               |
| 280 | PageNet                  | Jacksonville, FL         | untested                | 904-519-9102       | 7e1             |               |
| 281 | PageNet                  | Kansas City, KS          | untested                | 913-408-7243       | 7e1             |               |
| 282 | PageNet                  | Kansas City, MO          | untested                | 800-500-6630       | 7e1             |               |
| 283 | PageNet                  | Knoxville, TN            | untested                | 423-301-9998       | 7e1             |               |
| 284 | PageNet                  | Knoxville, TN            | untested                | 423-301-9999       | 7e1             |               |
| 285 | PageNet                  | Knoxville, TN            | untested                | 615-303-9999       | 7e1             |               |
| 286 | PageNet                  | Las Vegas, NV            | untested                | 702-661-7243       | 7e1             |               |
| 287 | PageNet                  | Las Vegas, NV            | untested                | 702-732-1957       | 7e1             |               |
| 288 | PageNet                  | Lexington, KY            | untested                | 606-532-9999       | 7e1             |               |
| 289 | PageNet                  | Long Beach, CA           | untested                | 310-327-5450       | 7e1             |               |
| 290 | PageNet                  | Long Island, NY          | untested                | 516-745-0055       | 7e1             |               |
| 291 | PageNet                  | Los Alamitos, CA         | untested                | 562-744-6300       | 7e1             |               |
| 292 | PageNet                  | Los Angeles, CA          | untested                | 213-303-9372       | 7e1             |               |
| 293 | PageNet                  | Los Angeles, CA          | untested                | 213-750-0450       | 7e1             |               |
| 294 | PageNet                  | Louisiana                | untested                | 800-762-2348       | 7e1             |               |
| 295 | PageNet                  | Louisville, KY           | untested                | 502-581-8799       | 7e1             |               |
| 296 | PageNet                  | Macon, GA                | untested                | 912-743-7647       | 7e1             |               |
| 297 | PageNet                  | Madison, WI              | untested                | 608-682-1116       | 7e1             |               |
| 298 | PageNet                  | Maplegrove, CA           | untested                | 818-850-6773       | 7e1             |               |
| 299 | PageNet                  | Massachusetts            | untested                | 401-861-8130       | 7e1             |               |
| 300 | PageNet                  | Memphis, TN              | untested                | 901-769-9998       | 7e1             |               |
| 301 | PageNet                  | Memphis, TN              | untested                | 901-769-9999       | 7e1             |               |
| 302 | PageNet                  | Merced, CA               | untested                | 209-724-7002       | 7e1             |               |
| 303 | PageNet                  | Miami, FL                | untested                | 305-264-6133       | 7e1             |               |
| 304 | PageNet                  | Miami, FL                | untested                | 305-287-7243       | 7e1             |               |
| 305 | PageNet                  | Michigan                 | untested                | 800-955-7243       | 7e1             |               |
| 306 | PageNet                  | Michigan                 | untested                | 810-827-7399       | 7e1             |               |
| 307 | PageNet                  | Milwaukee, WI            | untested                | 414-230-1116       | 7e1             |               |
| 308 | PageNet                  | Minneapolis, MN          | untested                | 612-942-8176       | 7e1             |               |
| 309 | PageNet                  | Mobile, AL               | untested                | 334-568-0000       | 7e1             |               |
| 310 | PageNet                  | Modesto, CA              | untested                | 209-527-9101       | 7e1             |               |
| 311 | PageNet                  | Montreal, Quebec, Canada | untested                | 514-736-8008       | 7e1             |               |
| 312 | PageNet                  | N&S Carolina 800         | untested                | 800-766-9731       | 7e1             |               |
| 313 | PageNet                  | NAD Accounts             | untested                | 800-807-0616       | 7e1             |               |
| 314 | PageNet                  | NYC Brooklyn, NY         | untested                | 718-355-2840       | 7e1             |               |
